farming_experience,soil_ph,rainfall,temperature,market_distance,fertilizer_affordability,loan_access,soil_type,region,income,land_size,irrigation,financial_goal,recommended_crop
17,4.8,1722,39.4,27.8,low,yes,sandy,south,270088,9.67,canal,short-term,millets
5,5.57,1246,37.2,51.7,low,yes,red,south,377211,4.8,drip,sustainable,millets
29,7.4,1401,15.1,2.7,medium,yes,sandy,south,835290,9.1,rainfed,export,watermelon
24,5.43,1737,34.4,25.6,high,yes,alluvial,central,585950,13.34,rainfed,long-term,pulses
9,7.35,959,36.2,77.0,high,yes,alluvial,north,957981,17.74,borewell,sustainable,rice
32,6.24,1612,32.6,26.4,high,no,loamy,south,518515,16.68,borewell,sustainable,spices
30,6.06,1874,34.6,26.5,low,no,alluvial,south,288326,3.37,drip,long-term,cotton
28,8.31,954,15.1,27.3,low,yes,sandy,west,833166,1.68,rainfed,short-term,vegetables
16,6.18,1661,18.7,77.2,high,yes,clay,west,607858,19.59,borewell,short-term,vegetables
22,5.55,1433,24.7,61.8,medium,no,sandy,south,74083,12.52,canal,short-term,cotton
7,7.55,1882,29.9,67.1,high,no,alluvial,east,134220,13.84,borewell,export,millets
15,7.24,1438,37.7,22.8,high,yes,red,central,896804,19.08,drip,long-term,pulses
5,7.69,1153,29.1,27.8,high,yes,red,south,173166,3.8,borewell,sustainable,pulses
2,5.78,1827,13.1,23.4,medium,yes,black,east,830912,15.05,borewell,short-term,pulses
6,6.8,463,21.9,88.4,medium,no,black,north,284739,11.12,drip,export,maize
10,7.74,844,14.2,67.8,low,yes,black,central,120338,4.39,drip,long-term,pulses
9,7.95,845,36.3,75.3,high,no,clay,west,740393,2.67,rainfed,sustainable,soybean
33,7.69,522,11.7,66.6,high,yes,sandy,central,691642,7.25,canal,long-term,maize
35,6.63,1927,31.4,52.0,low,yes,loamy,central,863813,12.98,rainfed,export,pulses
9,5.91,1381,35.0,75.0,high,yes,black,west,668853,9.51,canal,short-term,wheat
8,6.69,780,29.5,65.5,medium,no,red,east,903430,15.94,drip,sustainable,soybean
21,7.56,1084,24.7,57.6,low,no,alluvial,south,534152,7.59,drip,sustainable,soybean
37,4.54,1601,27.4,13.8,low,no,red,east,926058,13.52,canal,long-term,millets
25,4.51,1276,23.5,12.2,high,no,red,central,534238,19.26,drip,short-term,cotton
6,8.13,1811,19.7,53.7,medium,no,clay,north,421523,15.56,drip,export,tea
24,8.37,1415,13.6,25.0,low,no,clay,south,752716,14.68,canal,export,tea
38,6.43,559,35.1,81.5,medium,yes,loamy,south,53404,14.02,drip,sustainable,groundnut
4,7.17,1066,38.9,41.3,low,no,sandy,central,586491,15.7,canal,long-term,sorghum
3,4.98,1631,37.5,64.7,high,no,clay,north,110559,15.93,rainfed,long-term,pulses
10,5.12,1314,16.1,57.5,low,yes,sandy,central,166502,18.36,drip,long-term,rice
23,6.76,693,29.1,50.7,high,no,loamy,east,437181,9.78,drip,sustainable,groundnut
27,4.52,410,24.6,70.5,medium,no,loamy,south,532956,7.61,canal,sustainable,cotton
20,6.82,1474,21.5,25.2,high,no,black,west,506210,4.86,drip,sustainable,sugarcane
18,5.12,747,14.8,27.9,medium,yes,red,north,682907,12.88,canal,export,spices
23,6.63,1010,30.4,75.8,high,yes,loamy,central,373080,6.1,canal,export,cotton
25,6.2,827,30.8,89.9,medium,no,red,east,406007,8.75,borewell,sustainable,rice
32,5.09,488,34.0,64.2,medium,no,red,south,641978,13.55,canal,export,pulses
37,7.51,1895,25.4,66.3,medium,no,black,north,958794,3.49,borewell,long-term,sugarcane
17,8.34,1102,37.8,84.7,low,yes,sandy,north,227335,9.15,rainfed,sustainable,sugarcane
37,5.76,719,15.4,29.6,low,no,red,central,502413,17.56,borewell,long-term,wheat
14,7.87,953,12.8,16.8,high,yes,red,central,586652,15.33,borewell,export,soybean
1,8.14,782,37.0,28.6,high,no,alluvial,south,575302,8.5,rainfed,export,millets
17,7.6,1916,31.8,27.6,high,no,black,north,614016,6.69,drip,long-term,soybean
33,5.23,1533,30.4,52.3,high,no,black,west,549229,1.84,borewell,export,wheat
17,4.97,1574,14.4,92.7,low,yes,loamy,east,325095,12.2,borewell,export,wheat
23,8.08,1708,25.9,22.0,high,no,alluvial,west,997900,8.0,rainfed,short-term,vegetables
16,7.13,1131,12.3,52.8,low,yes,loamy,east,835517,5.21,drip,export,rice
8,7.51,907,30.9,1.2,low,no,loamy,north,475692,18.96,drip,long-term,vegetables
6,4.77,1127,23.7,38.6,high,no,alluvial,central,757939,14.31,drip,export,sugarcane
7,4.69,960,16.7,93.1,low,no,black,east,937416,9.12,rainfed,sustainable,millets
39,6.1,898,39.7,15.9,low,no,clay,south,593231,2.32,drip,long-term,sorghum
25,7.29,1459,20.2,15.4,low,no,loamy,west,907739,0.77,borewell,sustainable,groundnut
26,4.83,963,10.9,38.4,high,yes,red,east,533055,18.57,rainfed,long-term,jute
0,6.69,701,32.0,94.9,medium,yes,loamy,south,98832,5.07,drip,sustainable,cotton
31,7.7,587,31.9,82.8,high,no,black,west,418468,1.54,rainfed,sustainable,pulses
19,5.24,1886,22.3,88.1,low,no,alluvial,south,998403,4.99,drip,export,coffee
14,4.58,1823,16.5,63.0,high,yes,sandy,central,448549,6.99,canal,short-term,watermelon
19,5.93,1020,15.8,59.6,medium,yes,red,central,52229,9.77,borewell,long-term,sugarcane
2,7.0,433,38.6,70.5,high,no,clay,north,243344,10.42,borewell,sustainable,millets
26,6.19,1784,17.6,6.0,low,no,sandy,central,917472,3.29,drip,sustainable,pulses
32,4.54,1988,10.4,92.3,high,yes,clay,north,802192,1.42,drip,export,wheat
11,7.75,512,18.1,59.7,medium,no,loamy,east,315147,19.77,borewell,long-term,wheat
6,5.76,1978,17.1,99.2,high,no,alluvial,central,733759,12.94,canal,long-term,cotton
9,5.16,763,31.6,41.0,high,no,loamy,central,820184,1.49,canal,short-term,sugarcane
10,6.06,576,30.2,24.4,medium,yes,black,west,967168,6.86,borewell,short-term,vegetables
17,7.64,1145,23.5,38.9,low,yes,loamy,central,703931,7.85,borewell,sustainable,millets
34,5.3,954,21.6,82.4,low,yes,red,central,381722,16.32,borewell,short-term,groundnut
37,4.84,1042,27.8,63.6,low,no,sandy,north,105500,4.72,drip,long-term,rice
11,5.99,1098,17.6,95.3,high,no,black,south,221324,18.96,drip,long-term,soybean
21,4.84,835,39.1,79.6,medium,yes,sandy,east,626763,1.09,rainfed,long-term,vegetables
19,4.91,967,21.8,22.5,medium,no,black,west,73782,12.78,drip,long-term,cotton
39,4.65,488,18.0,1.3,medium,no,sandy,south,798795,12.57,drip,long-term,spices
31,5.75,962,27.8,51.7,low,no,alluvial,west,257333,1.38,drip,sustainable,groundnut
28,7.99,1191,13.1,18.9,low,yes,red,west,593349,5.41,canal,sustainable,soybean
0,7.1,1096,12.7,14.7,low,yes,clay,east,96300,8.77,rainfed,export,cotton
24,5.59,1489,15.7,59.0,low,no,alluvial,west,621663,10.5,canal,short-term,pulses
20,7.42,1645,27.6,63.9,low,no,loamy,central,113218,17.18,drip,short-term,millets
30,4.72,1670,25.1,28.6,low,no,clay,central,111012,7.81,rainfed,short-term,wheat
7,4.95,524,38.5,21.1,high,yes,loamy,east,578947,2.97,drip,export,tea
3,6.14,1125,27.1,16.1,high,yes,black,north,197047,16.84,rainfed,export,pulses
39,5.4,1587,22.9,62.4,high,yes,red,south,53688,19.67,borewell,short-term,rice
14,6.54,1393,11.9,9.6,low,yes,alluvial,central,716107,9.8,drip,short-term,rice
2,7.78,640,19.9,51.0,low,no,loamy,north,723087,16.1,rainfed,short-term,sugarcane
7,5.65,1667,30.6,64.9,low,no,clay,east,98034,8.23,drip,sustainable,sugarcane
39,7.98,1574,38.8,68.5,medium,no,alluvial,east,720084,5.96,canal,long-term,rice
5,7.3,1215,39.1,17.7,high,yes,alluvial,east,322131,15.61,rainfed,long-term,sorghum
10,4.79,818,32.9,7.8,medium,yes,clay,west,779939,6.31,rainfed,long-term,wheat
39,5.58,1314,33.1,31.9,high,no,red,south,313474,6.48,rainfed,short-term,vegetables
3,7.63,1587,38.5,59.6,low,yes,sandy,south,334657,17.81,canal,export,sugarcane
20,4.98,667,21.4,72.4,medium,no,black,central,329884,4.89,borewell,export,wheat
31,7.61,1500,20.3,28.0,high,no,clay,south,586330,14.18,rainfed,sustainable,sugarcane
10,5.88,807,27.4,79.6,high,yes,clay,west,817549,12.64,canal,short-term,pulses
6,5.74,1246,31.0,40.9,medium,no,sandy,north,230873,12.72,canal,short-term,maize
20,5.56,1690,28.4,56.0,low,no,sandy,central,107502,4.22,canal,long-term,sugarcane
15,7.14,1634,34.5,41.7,medium,yes,black,west,140745,10.38,borewell,long-term,groundnut
20,7.68,1650,18.5,77.7,medium,yes,loamy,west,548033,8.63,drip,short-term,wheat
2,6.58,1061,11.3,1.4,low,no,clay,central,865584,6.66,drip,long-term,cotton
30,6.83,1547,21.4,14.0,high,no,red,north,495727,13.9,rainfed,short-term,rice
26,7.26,572,37.6,54.5,medium,yes,black,south,343094,16.61,drip,sustainable,sorghum
18,7.74,677,29.8,61.1,high,no,black,east,147638,3.68,borewell,short-term,pulses
3,5.48,1197,26.8,63.8,low,yes,alluvial,central,312373,6.49,drip,long-term,sugarcane
0,6.0,1520,31.7,5.5,low,no,loamy,central,933299,7.79,rainfed,long-term,wheat
9,5.97,1631,12.8,66.1,medium,no,black,west,802602,6.72,drip,short-term,wheat
31,5.9,760,38.4,53.0,high,yes,loamy,east,393621,11.25,rainfed,short-term,sorghum
19,4.67,476,10.5,57.9,medium,yes,red,east,52479,4.04,borewell,sustainable,millets
10,6.17,1904,15.7,92.2,high,no,loamy,north,880499,7.16,borewell,export,sugarcane
12,7.93,1150,23.0,27.3,low,no,clay,central,423898,16.84,borewell,sustainable,groundnut
4,5.85,862,19.9,98.5,low,yes,alluvial,west,475549,14.72,canal,short-term,cotton
6,7.83,799,16.3,96.7,high,no,clay,north,682875,19.83,canal,short-term,cotton
13,8.14,444,22.7,37.5,low,yes,alluvial,west,611717,17.0,rainfed,export,spices
23,6.29,820,12.4,49.8,medium,no,alluvial,south,335472,12.42,borewell,sustainable,pulses
26,7.29,1066,13.4,22.5,medium,no,loamy,north,686146,15.64,drip,short-term,rice
3,5.24,495,26.0,33.7,medium,no,sandy,north,297548,14.01,drip,short-term,maize
11,8.17,741,18.2,1.9,high,no,loamy,east,156960,15.35,canal,export,jute
35,7.74,751,21.3,43.0,high,yes,black,central,742784,9.21,drip,sustainable,wheat
9,5.45,1304,28.1,35.9,medium,yes,red,west,57802,1.54,rainfed,long-term,cotton
10,8.18,892,28.2,69.3,medium,yes,black,east,56085,19.78,rainfed,sustainable,groundnut
9,7.63,1593,27.0,98.4,high,no,alluvial,east,186467,4.26,drip,short-term,jute
31,7.29,1979,34.8,52.9,high,no,sandy,south,243945,14.89,drip,export,coffee
26,4.64,1006,28.6,57.9,high,yes,black,east,166023,8.25,canal,sustainable,pulses
37,7.76,1041,31.6,22.8,high,no,black,south,735626,16.51,borewell,short-term,groundnut
38,7.77,1741,20.7,70.9,medium,yes,sandy,central,709655,16.28,canal,long-term,sugarcane
15,6.7,1162,28.1,57.8,medium,yes,sandy,central,92507,11.91,rainfed,short-term,groundnut
3,7.89,1999,11.6,36.4,medium,yes,loamy,east,862788,5.18,canal,sustainable,millets
36,6.01,1710,29.2,6.7,low,no,alluvial,north,588562,14.07,borewell,export,maize
25,6.62,959,10.1,14.1,low,no,red,north,110783,18.11,borewell,sustainable,pulses
15,7.71,741,30.7,13.7,high,no,loamy,north,985870,5.99,drip,long-term,millets
11,7.42,1110,16.8,57.5,medium,no,sandy,east,929864,2.84,borewell,export,cotton
20,6.83,1239,31.8,5.3,low,no,alluvial,west,77230,18.22,canal,long-term,pulses
4,5.6,1850,39.4,60.1,medium,yes,clay,central,215018,1.16,rainfed,long-term,jute
27,5.5,1811,12.5,35.6,medium,no,clay,central,880529,17.21,borewell,sustainable,millets
34,8.02,1049,36.8,26.5,medium,no,loamy,central,666758,13.55,canal,long-term,rice
20,5.95,1838,21.9,82.1,medium,no,loamy,north,589788,19.31,rainfed,long-term,millets
32,5.63,1117,26.1,85.0,medium,no,clay,south,782876,18.78,rainfed,short-term,spices
11,7.56,909,30.1,35.8,medium,no,loamy,north,972861,14.17,rainfed,short-term,millets
28,8.26,576,37.3,79.2,low,no,sandy,north,683496,15.16,drip,export,millets
27,4.82,821,22.0,43.1,medium,no,black,west,423266,17.82,drip,short-term,sorghum
15,6.48,1835,39.0,11.4,medium,yes,clay,west,840213,19.92,rainfed,sustainable,cotton
38,6.36,813,38.2,11.6,high,no,sandy,central,755360,2.99,canal,short-term,cotton
20,4.89,896,29.6,69.4,high,no,sandy,south,208383,17.97,rainfed,sustainable,sugarcane
0,7.57,1123,11.1,25.5,medium,yes,loamy,east,566795,18.86,drip,sustainable,jute
38,5.92,534,35.0,16.0,high,no,red,south,312332,12.07,canal,long-term,soybean
19,7.97,1042,31.1,33.3,medium,yes,black,south,294499,8.41,borewell,long-term,groundnut
32,7.94,756,22.2,66.6,high,yes,alluvial,west,503647,3.0,drip,long-term,cotton
5,5.93,552,21.0,22.3,high,no,red,east,263145,11.78,drip,long-term,sugarcane
20,6.15,1406,23.6,99.0,medium,no,red,central,526133,11.85,rainfed,short-term,vegetables
1,7.75,1653,33.1,17.4,high,no,alluvial,south,504084,18.62,canal,long-term,spices
6,4.67,802,36.1,87.9,low,no,alluvial,west,963136,2.76,drip,sustainable,cotton
31,7.96,1306,11.7,41.0,high,yes,alluvial,central,234862,7.62,canal,short-term,cotton
38,5.34,633,15.5,34.4,low,no,alluvial,south,996914,8.41,canal,export,cotton
39,7.57,1624,34.0,67.9,medium,no,red,west,712765,7.01,drip,long-term,soybean
18,5.44,716,11.5,35.5,medium,no,sandy,central,458717,1.64,canal,short-term,watermelon
25,8.14,1125,11.4,50.7,low,no,black,south,87088,11.96,borewell,short-term,soybean
3,6.37,1393,38.3,89.9,high,no,black,central,553089,18.01,borewell,sustainable,pulses
19,5.61,916,29.8,90.0,medium,no,black,north,692681,15.63,borewell,short-term,maize
10,6.17,1094,38.1,53.3,low,no,black,west,827320,6.09,drip,short-term,soybean
32,4.69,854,16.8,93.6,high,no,clay,east,792936,5.32,borewell,sustainable,jute
8,8.42,1946,18.0,31.9,high,no,sandy,west,667787,16.01,rainfed,export,pulses
24,5.65,1794,10.7,35.5,high,no,sandy,south,941803,11.81,borewell,long-term,soybean
8,7.59,1344,25.8,32.3,high,yes,clay,south,825796,12.51,drip,export,jute
1,6.57,1243,21.2,70.7,high,no,sandy,west,577998,12.07,borewell,short-term,vegetables
25,6.03,1527,29.8,74.5,low,yes,sandy,central,862107,7.16,drip,long-term,groundnut
25,5.66,1366,38.9,87.1,high,yes,red,north,969959,13.3,borewell,sustainable,groundnut
34,5.66,631,26.0,44.7,medium,yes,black,central,284101,16.03,canal,long-term,sorghum
18,4.64,1702,14.6,16.9,low,no,clay,south,223297,6.21,borewell,short-term,rice
16,8.02,1426,23.3,53.8,low,no,loamy,north,625587,14.09,canal,export,maize
10,5.34,1731,31.0,9.2,low,yes,clay,south,225558,10.7,canal,long-term,groundnut
36,7.68,406,28.4,41.8,medium,no,clay,central,388317,3.91,borewell,export,tea
30,6.07,1061,15.4,68.9,medium,no,alluvial,east,602206,3.35,borewell,sustainable,tea
32,8.33,497,19.4,21.2,high,no,alluvial,south,299111,16.37,drip,export,spices
13,8.03,1008,16.0,35.2,medium,yes,loamy,south,642220,11.72,canal,export,cotton
12,6.0,1644,32.9,41.9,low,no,clay,east,301327,3.25,drip,short-term,jute
2,4.74,721,35.5,26.6,medium,yes,loamy,west,972969,10.57,borewell,sustainable,pulses
16,8.24,1310,17.8,8.1,medium,yes,sandy,east,312269,9.26,canal,long-term,rice
12,7.45,1329,32.7,32.6,medium,no,clay,south,865480,18.36,borewell,short-term,millets
22,5.83,681,11.0,28.6,low,yes,red,north,358947,16.67,canal,export,groundnut
2,7.55,1840,27.7,24.4,low,yes,clay,north,324368,14.27,rainfed,short-term,maize
23,6.8,886,33.1,73.8,medium,yes,red,central,117596,19.64,drip,sustainable,maize
38,8.02,992,39.2,98.8,medium,no,loamy,east,402473,3.26,canal,short-term,pulses
38,5.85,1809,29.5,53.8,high,no,black,central,416310,17.46,canal,export,wheat
21,5.19,1971,24.1,60.9,low,yes,red,east,160480,8.74,rainfed,long-term,tea
2,8.44,844,16.9,66.5,medium,yes,sandy,south,108461,12.25,borewell,long-term,pulses
24,6.34,522,21.7,57.5,medium,no,black,west,506053,1.57,canal,sustainable,sugarcane
9,5.86,1235,36.9,40.0,high,no,loamy,south,766274,19.38,rainfed,sustainable,groundnut
17,6.11,1797,24.8,25.7,low,no,loamy,south,653224,1.03,rainfed,short-term,rice
28,5.44,422,10.2,3.2,high,no,black,south,922104,14.67,rainfed,sustainable,pulses
39,5.72,959,17.2,49.9,low,yes,loamy,west,76572,6.53,rainfed,short-term,millets
12,8.16,1562,34.7,83.3,medium,yes,clay,west,793678,5.43,borewell,long-term,rice
9,4.71,561,33.6,75.7,medium,no,loamy,east,193470,14.55,canal,sustainable,tea
26,5.75,1016,16.3,56.8,high,yes,black,central,94633,9.22,rainfed,export,wheat
36,8.32,1890,10.1,36.2,medium,no,sandy,north,380949,6.12,canal,export,coffee
3,5.01,991,30.5,34.2,low,no,loamy,west,688749,8.67,drip,sustainable,cotton
36,5.52,1615,37.1,84.5,medium,yes,clay,west,208897,17.45,canal,sustainable,soybean
5,5.67,1814,31.5,2.7,medium,no,red,west,71990,2.63,drip,short-term,wheat
35,6.11,1540,35.1,21.4,high,yes,clay,north,775617,2.83,canal,short-term,maize
11,8.03,1906,11.6,38.4,high,no,clay,central,835847,2.3,rainfed,sustainable,sugarcane
16,7.83,1368,37.9,5.3,high,yes,alluvial,north,753190,18.98,borewell,export,soybean
21,6.67,1482,31.6,50.2,low,yes,sandy,central,852141,4.1,rainfed,sustainable,groundnut
3,7.22,1298,33.7,5.0,medium,no,sandy,north,578338,8.35,canal,export,groundnut
28,6.68,993,22.7,72.4,medium,yes,black,north,869767,12.69,borewell,short-term,maize
4,8.43,499,32.0,8.3,medium,no,clay,east,680404,12.86,drip,short-term,soybean
14,5.39,599,33.4,5.4,low,yes,sandy,east,876370,1.91,rainfed,long-term,watermelon
10,7.39,457,20.2,36.8,high,no,sandy,north,474878,9.86,canal,short-term,vegetables
36,4.97,1424,14.4,96.6,low,yes,loamy,north,342213,19.06,borewell,short-term,cotton
14,6.79,1539,11.8,54.8,medium,yes,clay,central,887581,9.0,canal,long-term,pulses
7,6.77,1562,22.3,13.3,medium,yes,sandy,east,144174,5.55,rainfed,sustainable,rice
37,6.46,1370,16.9,51.9,high,yes,clay,south,332462,1.38,drip,sustainable,sugarcane
11,5.04,1318,12.5,1.2,high,no,black,north,781423,4.32,rainfed,sustainable,groundnut
13,5.59,1260,15.8,22.0,low,no,loamy,north,165928,10.56,borewell,long-term,wheat
27,4.65,1197,18.3,39.8,high,yes,clay,south,211223,0.93,canal,sustainable,groundnut
11,6.5,1724,31.7,13.6,high,yes,red,east,820684,4.28,drip,sustainable,cotton
38,5.22,408,10.3,7.7,medium,no,clay,south,745641,8.41,borewell,long-term,sugarcane
6,6.07,931,26.7,1.3,high,yes,loamy,south,847544,13.77,drip,sustainable,pulses
24,7.16,580,23.9,4.6,medium,yes,alluvial,south,190078,5.67,borewell,sustainable,sugarcane
39,8.32,1077,10.8,51.1,low,yes,alluvial,east,507359,0.83,drip,sustainable,groundnut
0,6.92,475,32.5,41.3,medium,no,alluvial,south,317382,6.81,rainfed,long-term,wheat
38,5.48,1909,15.8,99.2,medium,yes,alluvial,central,791246,15.34,borewell,export,cotton
30,7.44,635,17.3,37.7,high,yes,red,central,641329,8.36,rainfed,export,millets
9,7.58,540,18.4,33.9,medium,yes,black,east,83240,17.86,drip,sustainable,cotton
32,5.71,1773,28.8,53.6,high,yes,black,east,656223,15.77,canal,export,pulses
36,4.55,1560,31.1,97.7,low,yes,sandy,west,609180,8.05,rainfed,long-term,wheat
18,8.36,1111,35.8,91.8,medium,yes,sandy,north,888343,13.22,canal,short-term,watermelon
1,6.93,1039,32.4,74.6,medium,no,sandy,south,184857,17.53,rainfed,export,cotton
1,7.9,484,23.6,57.5,low,no,red,west,557577,6.08,rainfed,export,coffee
20,7.06,1599,21.4,21.9,medium,yes,red,central,211531,14.43,rainfed,short-term,vegetables
38,8.21,1364,21.7,78.8,low,yes,black,north,444598,3.75,drip,export,tea
2,8.13,811,11.1,60.4,high,no,black,central,284726,1.64,borewell,long-term,wheat
32,5.96,1044,23.4,34.9,medium,no,loamy,east,437960,4.3,canal,sustainable,sugarcane
13,6.27,755,15.4,50.0,high,yes,sandy,south,237768,17.6,rainfed,short-term,sugarcane
5,5.75,1873,27.0,7.3,high,yes,red,central,521852,1.18,rainfed,export,tea
28,7.75,660,15.2,54.2,medium,no,loamy,north,683818,3.04,borewell,sustainable,maize
34,7.11,1886,11.2,66.0,low,yes,clay,north,752690,5.19,canal,short-term,maize
19,5.31,603,20.5,54.1,high,no,clay,south,114501,10.09,drip,export,groundnut
12,4.57,991,29.8,1.3,medium,yes,sandy,north,869070,7.54,drip,long-term,rice
29,7.17,1395,36.7,21.6,high,no,red,north,581125,11.63,rainfed,short-term,maize
15,5.04,692,39.1,35.9,high,yes,loamy,north,475660,3.23,drip,short-term,vegetables
5,7.2,1373,14.8,63.8,medium,yes,sandy,central,658856,18.4,canal,export,sugarcane
7,6.99,1892,20.2,99.6,high,no,loamy,central,558861,5.75,borewell,long-term,maize
23,4.94,1787,10.6,65.2,high,no,black,north,93895,14.42,drip,long-term,cotton
6,5.01,1098,19.2,25.0,low,no,alluvial,central,383199,2.62,drip,long-term,sugarcane
4,7.18,1331,31.5,62.6,low,yes,red,central,803580,1.45,drip,short-term,pulses
12,7.62,620,32.5,17.9,high,yes,alluvial,south,346627,8.01,rainfed,export,sugarcane
29,4.76,835,12.2,68.5,medium,yes,loamy,west,298364,11.7,rainfed,short-term,sugarcane
12,6.55,1807,20.7,27.8,low,yes,black,north,234139,18.44,rainfed,sustainable,rice
14,4.53,844,24.5,95.3,low,no,black,central,422034,19.31,canal,export,maize
31,7.28,731,34.8,29.5,medium,no,clay,west,329709,18.96,canal,export,jute
5,8.46,461,34.6,28.2,low,yes,sandy,central,762671,8.24,borewell,short-term,maize
15,5.34,1514,37.6,90.2,medium,no,clay,east,881538,16.23,rainfed,long-term,pulses
11,6.78,418,39.3,64.1,high,no,black,north,180915,2.23,drip,short-term,sorghum
39,5.6,1093,35.9,6.4,high,yes,black,south,951831,17.32,borewell,long-term,millets
6,7.54,1472,11.2,18.3,low,no,loamy,central,739034,19.7,drip,short-term,vegetables
22,5.16,1506,26.0,27.9,low,no,black,east,593724,11.57,canal,export,jute
22,7.33,1866,21.9,89.7,low,no,loamy,west,538584,19.38,drip,sustainable,wheat
39,5.68,479,24.1,39.4,low,yes,black,east,425133,12.9,drip,long-term,millets
20,5.8,553,28.7,45.3,low,no,loamy,west,355600,9.56,borewell,short-term,pulses
1,6.27,1303,15.1,24.8,low,yes,alluvial,north,726068,14.97,rainfed,short-term,millets
0,7.65,482,36.7,21.7,high,no,loamy,east,914230,7.32,drip,export,vegetables
29,7.67,1218,22.8,65.6,high,yes,alluvial,central,467498,12.52,rainfed,export,millets
39,6.22,1703,37.2,44.2,medium,no,black,east,214165,3.1,rainfed,long-term,jute
9,6.14,1256,27.9,12.0,low,no,alluvial,south,745292,9.8,drip,long-term,rice
27,7.58,881,24.4,31.8,high,yes,sandy,south,523351,2.22,drip,long-term,millets
4,6.42,1180,20.0,64.6,medium,yes,red,south,876710,3.06,canal,sustainable,rice
16,6.62,1167,20.0,43.7,low,no,clay,east,330733,5.19,drip,export,rice
25,7.41,1636,31.5,31.3,medium,yes,loamy,west,223232,17.84,rainfed,export,coffee
33,7.35,796,27.4,78.3,high,no,black,west,478885,14.16,canal,export,wheat
24,7.82,1896,30.9,31.2,low,yes,alluvial,central,489757,5.91,canal,export,sugarcane
20,6.07,1651,38.7,6.8,high,yes,alluvial,central,119102,7.12,rainfed,sustainable,vegetables
39,4.71,1429,21.3,67.7,low,no,loamy,central,847205,19.43,rainfed,short-term,maize
11,8.2,1902,22.1,82.9,low,no,red,central,422800,5.17,canal,export,wheat
34,5.56,499,31.3,5.5,medium,no,black,north,348076,1.8,drip,long-term,cotton
15,7.96,1624,18.6,66.6,high,yes,loamy,south,165378,10.69,borewell,sustainable,spices
39,6.62,1052,24.5,97.9,low,yes,black,central,519355,8.9,canal,long-term,soybean
19,5.18,1128,39.9,93.2,medium,yes,loamy,north,863999,11.88,borewell,export,spices
2,5.74,1395,38.8,47.9,medium,no,black,west,87687,18.6,rainfed,export,millets
13,7.84,535,24.6,18.5,medium,no,black,east,389117,12.61,rainfed,export,sugarcane
22,4.84,1382,10.8,13.2,medium,no,alluvial,east,374407,6.74,drip,long-term,jute
18,7.72,801,17.9,29.8,low,no,black,central,723202,5.92,rainfed,export,wheat
2,4.56,1911,36.0,80.4,low,yes,clay,central,710515,4.88,rainfed,short-term,jute
34,4.88,1642,18.4,86.8,low,no,sandy,south,313734,18.02,canal,sustainable,rice
20,4.78,1494,21.2,7.8,high,yes,red,east,466812,19.08,canal,sustainable,pulses
15,5.52,1417,29.5,74.3,medium,yes,clay,south,909959,17.82,canal,long-term,spices
15,7.68,832,16.9,70.2,low,yes,black,west,211014,13.98,borewell,sustainable,cotton
22,4.55,1781,16.7,91.4,low,no,black,west,455868,18.15,drip,sustainable,cotton
15,7.9,402,14.7,87.5,medium,yes,sandy,north,682950,1.46,canal,export,millets
23,7.26,1887,27.7,94.8,high,yes,red,north,960990,14.71,canal,long-term,cotton
15,5.8,1546,14.5,93.6,low,yes,clay,south,393975,8.14,rainfed,short-term,jute
3,6.48,1213,22.6,84.0,low,no,alluvial,west,343370,2.1,canal,sustainable,pulses
2,6.12,860,13.1,33.0,medium,yes,clay,south,423122,4.12,canal,sustainable,groundnut
15,4.74,1713,17.9,78.1,low,yes,alluvial,south,236187,15.35,canal,long-term,sugarcane
16,7.43,503,13.6,99.1,medium,no,sandy,east,342550,5.88,borewell,long-term,cotton
7,5.85,504,16.7,82.0,low,yes,sandy,west,796407,5.2,rainfed,export,groundnut
5,6.34,1707,10.8,60.7,medium,no,alluvial,central,778088,4.71,canal,long-term,rice
14,5.41,530,31.2,28.3,medium,yes,clay,east,643472,0.59,borewell,sustainable,jute
28,5.67,467,24.7,33.7,high,no,clay,north,718666,3.02,borewell,sustainable,wheat
24,6.18,673,29.5,74.9,medium,no,sandy,south,509499,5.52,borewell,short-term,groundnut
23,7.52,1585,31.2,35.8,medium,yes,sandy,east,123504,19.8,drip,short-term,vegetables
37,5.83,1636,39.8,65.0,low,no,alluvial,north,811217,5.51,rainfed,sustainable,cotton
36,4.93,1595,19.9,94.6,medium,no,sandy,north,403650,19.9,rainfed,short-term,rice
26,8.23,1824,17.5,90.4,low,yes,alluvial,central,826471,7.93,canal,short-term,rice
17,4.91,621,25.8,99.7,low,no,sandy,south,294852,11.16,rainfed,export,pulses
9,4.83,1811,38.1,96.7,high,no,loamy,west,556026,19.34,drip,sustainable,sorghum
9,8.01,1540,33.4,19.1,high,yes,loamy,east,948885,4.76,drip,export,rice
34,7.83,421,22.7,11.8,medium,no,loamy,north,774014,10.68,canal,export,pulses
28,6.09,1539,10.8,70.5,high,yes,red,east,460114,10.39,borewell,short-term,millets
27,8.27,814,12.4,80.1,low,no,alluvial,west,688345,18.31,drip,sustainable,sugarcane
13,5.43,1166,35.7,21.2,low,yes,sandy,east,112812,14.28,canal,short-term,millets
13,4.77,862,17.6,24.8,medium,yes,red,west,828275,5.2,drip,short-term,sugarcane
